,point_id,time_spent,distance_driven,StreetNumber,Street,PostalCode,City,IsNormalized,OpenTime,CloseTime,isStart,prenormalised,geocode,street_number_n,route_n,locality_n,administrative_area_level_2_n,postal_code_n,formatted_address_n,lat_n,lng_n,place_id_n,visited,lat/lng
0,5,2021-11-28 08:06:00,774.0,40C,Starowiejska,81-356,Gdynia,True,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Starowiejska 40C, 81-356 Gdynia","{'street_number': '40C', 'route': 'Starowiejska', 'political': 'Śródmieście', 'locality': 'Gdynia', 'administrative_area_level_2': 'Gdynia', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81-363', 'formatted_address': 'Starowiejska 40C, 81-363 Gdynia, Poland', 'lat': 54.5212833, 'lng': 18.5356647, 'place_id': 'ChIJT_OLOySn_UYRAFh4JWEjz6I'}",40C,Starowiejska,Gdynia,Gdynia,81-356,"Starowiejska 40C, 81-363 Gdynia, Poland",54.5212833,18.5356647,ChIJT_OLOySn_UYRAFh4JWEjz6I,True,"[54.5212833, 18.5356647]"
1,6,2021-11-28 08:15:29,1416.0,7,10 Lutego,81-366,Gdynia,True,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"10 Lutego 7, 81-366 Gdynia","{'street_number': '7', 'route': '10 Lutego', 'political': 'Śródmieście', 'locality': 'Gdynia', 'administrative_area_level_2': 'Gdynia', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81-366', 'formatted_address': '10 Lutego 7, 81-366 Gdynia, Poland', 'lat': 54.519234, 'lng': 18.5406699, 'place_id': 'ChIJJcEoJiWn_UYR4BjZTZ3cAto'}",7,10 Lutego,Gdynia,Gdynia,81-366,"10 Lutego 7, 81-366 Gdynia, Poland",54.519234,18.5406699,ChIJJcEoJiWn_UYR4BjZTZ3cAto,True,"[54.519234, 18.5406699]"
2,7,2021-11-28 08:24:13,1986.0,46 A-B,A. Abrahama,81-395,Gdynia,False,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"A. Abrahama 46 A-B, 81-395 Gdynia","{'street_number': '46 A-B', 'route': 'Antoniego Abrahama', 'political': 'Śródmieście', 'locality': 'Gdynia', 'administrative_area_level_2': 'Gdynia', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81-395', 'formatted_address': 'Antoniego Abrahama 46 A-B, 81-395 Gdynia, Poland', 'lat': 54.5164267, 'lng': 18.5395169, 'place_id': 'ChIJYcNp_i-n_UYR0KVP_Mt3oOg'}",46 A-B,Antoniego Abrahama,Gdynia,Gdynia,81-395,"Antoniego Abrahama 46 A-B, 81-395 Gdynia, Poland",54.5164267,18.5395169,ChIJYcNp_i-n_UYR0KVP_Mt3oOg,True,"[54.5164267, 18.5395169]"
3,9,2021-11-28 08:31:58,2476.0,,Swietojanska 75,81-389,Gdynia,False,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Swietojanska 75 , 81-389 Gdynia","{'street_number': '75', 'route': 'Świętojańska', 'political': 'Śródmieście', 'locality': 'Gdynia', 'administrative_area_level_2': 'Gdynia', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81-389', 'formatted_address': 'Świętojańska 75, 81-389 Gdynia, Poland', 'lat': 54.512939, 'lng': 18.5399209, 'place_id': 'ChIJXT7NvTGn_UYRISNaLDXtvlw'}",75,Świętojańska,Gdynia,Gdynia,81-389,"Świętojańska 75, 81-389 Gdynia, Poland",54.512939,18.5399209,ChIJXT7NvTGn_UYRISNaLDXtvlw,True,"[54.512939, 18.5399209]"
4,10,2021-11-28 08:41:45,3673.0,45,Ignacego Krasickiego,81-377,Gdynia,True,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Ignacego Krasickiego 45, 81-377 Gdynia","{'street_number': '45', 'route': 'Ignacego Krasickiego', 'political': 'Kamienna Góra', 'locality': 'Gdynia', 'administrative_area_level_2': 'Gdynia', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81-377', 'formatted_address': 'Ignacego Krasickiego 45, 81-377 Gdynia, Poland', 'lat': 54.5082143, 'lng': 18.548955, 'place_id': 'ChIJWzNOvzWn_UYRfhHy_hbbYXU'}",45,Ignacego Krasickiego,Gdynia,Gdynia,81-377,"Ignacego Krasickiego 45, 81-377 Gdynia, Poland",54.5082143,18.548955,ChIJWzNOvzWn_UYRfhHy_hbbYXU,True,"[54.5082143, 18.548955]"
5,11,2021-11-28 08:49:45,4162.0,5,Necla,81-377,Gdynia,False,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Necla 5, 81-377 Gdynia","{'street_number': '5', 'route': 'Augustyna Necla', 'political': 'Kamienna Góra', 'locality': 'Gdynia', 'administrative_area_level_2': 'Gdynia', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81-377', 'formatted_address': 'Augustyna Necla 5, 81-377 Gdynia, Poland', 'lat': 54.5088145, 'lng': 18.5482381, 'place_id': 'ChIJyzWnzjWn_UYRgELId-RzYyo'}",5,Augustyna Necla,Gdynia,Gdynia,81-377,"Augustyna Necla 5, 81-377 Gdynia, Poland",54.5088145,18.5482381,ChIJyzWnzjWn_UYRgELId-RzYyo,True,"[54.5088145, 18.5482381]"
6,12,2021-11-28 09:01:06,5920.0,24,B. Chłopskich,81-415,Gdynia,False,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"B. Chlopskich 24, 81-415 Gdynia","{'street_number': '24', 'route': 'Batalionów Chłopskich', 'political': 'Wzgórze Świętego Maksymiliana', 'locality': 'Gdynia', 'administrative_area_level_2': 'Gdynia', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81-415', 'formatted_address': 'Batalionów Chłopskich 24, 81-415 Gdynia, Poland', 'lat': 54.498085, 'lng': 18.539604, 'place_id': 'ChIJHcLwC8mg_UYRJOtr-7QwZBM'}",24,Batalionów Chłopskich,Gdynia,Gdynia,81-415,"Batalionów Chłopskich 24, 81-415 Gdynia, Poland",54.498085,18.539604,ChIJHcLwC8mg_UYRJOtr-7QwZBM,True,"[54.498085, 18.539604]"
7,14,2021-11-28 09:11:44,7518.0,3A,Luzycka,81-537,Gdynia,False,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Luzycka 3A, 81-537 Gdynia","{'street_number': '3A', 'route': 'Łużycka', 'political': 'Mały Kack', 'locality': 'Gdynia', 'administrative_area_level_2': 'Gdynia', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81-472', 'formatted_address': 'Łużycka 3A, 81-472 Gdynia, Poland', 'lat': 54.494819, 'lng': 18.5357619, 'place_id': 'ChIJUTbSn8ig_UYRW5Dy7I_4uUw'}",3A,Łużycka,Gdynia,Gdynia,81-537,"Łużycka 3A, 81-472 Gdynia, Poland",54.494819,18.5357619,ChIJUTbSn8ig_UYRW5Dy7I_4uUw,True,"[54.494819, 18.5357619]"
8,15,2021-11-28 09:20:28,9063.0,4A,plac Górnośląski,81-509,Gdynia,True,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"plac Gornoslaski 4A, 81-509 Gdynia","{'street_number': '4a', 'route': 'plac Górnośląski', 'political': 'Orłowo', 'locality': 'Gdynia', 'administrative_area_level_2': 'Gdynia', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81-509', 'formatted_address': 'plac Górnośląski 4a, 81-509 Gdynia, Poland', 'lat': 54.4838673, 'lng': 18.5387203, 'place_id': 'ChIJS4jjzL-g_UYRIK2YdvAFU9w'}",4a,plac Górnośląski,Gdynia,Gdynia,81-509,"plac Górnośląski 4a, 81-509 Gdynia, Poland",54.4838673,18.5387203,ChIJS4jjzL-g_UYRIK2YdvAFU9w,True,"[54.4838673, 18.5387203]"
9,2,2021-11-28 09:31:11,11463.0,260,Wielkoplska,81-532,Gdynia,False,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Wielkoplska 260, 81-532 Gdynia","{'street_number': '260', 'route': 'Wielkopolska', 'political': 'Mały Kack', 'locality': 'Gdynia', 'administrative_area_level_2': 'Gdynia', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81-531', 'formatted_address': 'Wielkopolska 260, 81-531 Gdynia, Poland', 'lat': 54.472972, 'lng': 18.5125589, 'place_id': 'ChIJCbgkVvCg_UYRCLrzLJVT8Dw'}",260,Wielkopolska,Gdynia,Gdynia,81-532,"Wielkopolska 260, 81-531 Gdynia, Poland",54.472972,18.5125589,ChIJCbgkVvCg_UYRCLrzLJVT8Dw,True,"[54.472972, 18.5125589]"
