from_idx,to_idx,from,to,distance,duration,dest_closeTime
0,1,"Witolda 17, 81-532 Gdynia, Poland","Witolda 39A, 81-531 Gdynia, Poland",279.0,79.0,2021-11-27 16:00:00
0,2,"Witolda 17, 81-532 Gdynia, Poland","Wielkopolska 260, 81-531 Gdynia, Poland",1232.0,156.0,2021-11-27 16:00:00
0,3,"Witolda 17, 81-532 Gdynia, Poland","Korzenna 16a, 81-587 Gdynia, Poland",2100.0,268.0,2021-11-27 16:00:00
0,4,"Witolda 17, 81-532 Gdynia, Poland","Wiczlińska 4, 81-578 Gdynia, Poland",3847.0,456.0,2021-11-27 16:00:00
0,5,"Witolda 17, 81-532 Gdynia, Poland","Starowiejska 40C, 81-363 Gdynia, Poland",6332.0,696.0,2021-11-27 16:00:00
0,6,"Witolda 17, 81-532 Gdynia, Poland","10 Lutego 7, 81-366 Gdynia, Poland",6044.0,673.0,2021-11-27 16:00:00
0,7,"Witolda 17, 81-532 Gdynia, Poland","Antoniego Abrahama 46 A-B, 81-395 Gdynia, Poland",5633.0,613.0,2021-11-27 16:00:00
0,9,"Witolda 17, 81-532 Gdynia, Poland","Świętojańska 75, 81-389 Gdynia, Poland",5488.0,606.0,2021-11-27 16:00:00
0,10,"Witolda 17, 81-532 Gdynia, Poland","Ignacego Krasickiego 45, 81-377 Gdynia, Poland",5568.0,667.0,2021-11-27 16:00:00
0,11,"Witolda 17, 81-532 Gdynia, Poland","Augustyna Necla 5, 81-377 Gdynia, Poland",5644.0,713.0,2021-11-27 16:00:00
0,12,"Witolda 17, 81-532 Gdynia, Poland","Batalionów Chłopskich 24, 81-415 Gdynia, Poland",3864.0,501.0,2021-11-27 16:00:00
0,13,"Witolda 17, 81-532 Gdynia, Poland","Łużycka 3, 81-537 Gdynia, Poland",3486.0,454.0,2021-11-27 16:00:00
0,14,"Witolda 17, 81-532 Gdynia, Poland","Łużycka 3A, 81-472 Gdynia, Poland",3675.0,475.0,2021-11-27 16:00:00
0,15,"Witolda 17, 81-532 Gdynia, Poland","plac Górnośląski 4a, 81-509 Gdynia, Poland",1624.0,234.0,2021-11-27 16:00:00
0,16,"Witolda 17, 81-532 Gdynia, Poland","aleja Zwycięstwa 238, 81-525 Gdynia, Poland",2964.0,380.0,2021-11-27 16:00:00
0,17,"Witolda 17, 81-532 Gdynia, Poland","Aleja Niepodległości 899, Sopot, Poland",5384.0,692.0,2021-11-27 17:00:00
0,18,"Witolda 17, 81-532 Gdynia, Poland","Aleja Niepodległości 938, 81-855 Sopot, Poland",5244.0,607.0,2021-11-27 16:00:00
0,19,"Witolda 17, 81-532 Gdynia, Poland","Jana Jerzego Haffnera 59, 81-715 Sopot, Poland",6208.0,699.0,2021-11-27 16:00:00
0,21,"Witolda 17, 81-532 Gdynia, Poland","Jana Jerzego Haffnera 42, 81-707 Sopot, Poland",6612.0,771.0,2021-11-27 16:00:00
0,22,"Witolda 17, 81-532 Gdynia, Poland","Michała Drzymały 9, 81-771 Sopot, Poland",9412.0,1230.0,2021-11-27 16:00:00
0,23,"Witolda 17, 81-532 Gdynia, Poland","Księcia Józefa Poniatowskiego 2, 81-724 Sopot, Poland",9158.0,1112.0,2021-11-27 16:00:00
0,24,"Witolda 17, 81-532 Gdynia, Poland","Bitwy pod Płowcami 54, 81-731 Sopot, Poland",9517.0,1109.0,2021-11-27 16:00:00
0,25,"Witolda 17, 81-532 Gdynia, Poland","Tadeusza Kościuszki 27, 80-445 Gdańsk, Poland",15255.0,1655.0,2021-11-27 16:00:00
0,26,"Witolda 17, 81-532 Gdynia, Poland","Jana Kilińskiego 9, 80-452 Gdańsk, Poland",15381.0,1702.0,2021-11-27 16:00:00
0,27,"Witolda 17, 81-532 Gdynia, Poland","Danusi 4C, 80-434 Gdańsk, Poland",16378.0,1772.0,2021-11-27 16:00:00
0,28,"Witolda 17, 81-532 Gdynia, Poland","Stanisława Wyspiańskiego 20, 80-434 Gdańsk, Poland",16207.0,1735.0,2021-11-27 16:00:00
